Númer;Heiti;Einingar;Kennslumisseri;Námstig;
IÐN205M;Titringshjóð og tónlist;7,5;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71153020230&kennsluar=2022
VÉL408G;Örtölvur og vélbúnaður;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71046220230&kennsluar=2022
TÖL303G;Gagnasafnsfræði;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08713120226&kennsluar=2022
TÖL107G;Vefforritun 1;8;bar;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08715320226&kennsluar=2022
IÐN133F;Verkefni í Tæknistjórnun;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71154120226&kennsluar=2022
IÐN503G;Verkefnastjórnun;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08213720226&kennsluar=2022
VÉL217F;Verkefni;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70426320230&kennsluar=2022
HBV204M;Gæðastjórnun í hugbúnaðargerð;6;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08732220230&kennsluar=2022
VÉL405G;Orkuferli;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08214120230&kennsluar=2022
HBV202G;Hugbúnaðarhönnun og forritun;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71152320230&kennsluar=2022
VÉL203M;Tæknileg iðnhönnun;6;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08221620230&kennsluar=2022
REI561L;Lokaverkefni;180;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91057220230&kennsluar=2022
TÖL103M;Forritun snjalltækja;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71119420226&kennsluar=2022
VÉL212F;Ólínuleg tölvuvædd greining;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70378520230&kennsluar=2022
HBV501G;Hugbúnaðarverkefni 1;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08715120226&kennsluar=2022
VÉL407G;Hönnun vélbúnaðar;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71045620230&kennsluar=2022
VÉL201G;Tölvuteikning og framsetning;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08211020230&kennsluar=2022
VÉL510G;Rannsóknir, nýsköpun og þróun;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71103020226&kennsluar=2022
EVF602M;Hönnun efnahvarfa;6;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70747420230&kennsluar=2022
TÖL561L;Lokaverkefni;180;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91031820230&kennsluar=2022
VÉL610G;Rannsóknir, nýsköpun og þróun;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71103020230&kennsluar=2022
VÉL072M;Valið efni í vélaverkfræði;6;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71102920230&kennsluar=2022
HBV101G;Inngangur að hugbúnaðarverkfræði;4;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71152220226&kennsluar=2022
TÖL602M;Frá hugmynd að veruleika II;6;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71179920230&kennsluar=2022
VÉL406G;Hreyfikerfi og sveiflur;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71045520230&kennsluar=2022
EVF501M;Tilraunastofa í efnaverkfræði;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70747520226&kennsluar=2022
VÉL607G;Verkefni;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70982320230&kennsluar=2022
VÉL218F;Bein nýting jarðhita;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70559720230&kennsluar=2022
HBV442L;Lokaverkefni;30;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91031220226&kennsluar=2022
EVF301G;Hagnýt varmaefnafræði;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70902620226&kennsluar=2022
IÐN228F;Tækni- og vöruþróunarferli;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71152720230&kennsluar=2022
IÐN502G;Hagverkfræði;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08213320226&kennsluar=2022
HBV404G;Hagnýt hugbúnaðarverkfræði;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71153520230&kennsluar=2022
TÖL203G;Tölvunarfræði 2;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08712920230&kennsluar=2022
TÖL019F;Verkefni í máltækni;8;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70951020230&kennsluar=2022
TÖL204F;Málstofa meistaranema;2;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08736120230&kennsluar=2022
VÉL561L;Lokaverkefni;180;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91020720230&kennsluar=2022
REI561L;Lokaverkefni;180;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91057220226&kennsluar=2022
IÐN601G;Verkefni;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08219120230&kennsluar=2022
TÖL261L;Lokaverkefni;6;Sumar;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91012320233&kennsluar=2022
IÐN303G;Tæknileg kerfi;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70998920226&kennsluar=2022
IÐN113F;Tímaraðagreining;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70367820226&kennsluar=2022
IÐN101M;Gæðastjórnun;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08223220226&kennsluar=2022
REI506M;Gervigreind fyrir jarðarkönnun keyrt á ofurtölvum;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71151920226&kennsluar=2022
VÉL501M;Tæring;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08221420226&kennsluar=2022
IÐN103G;Tæknistjórnun;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70950420226&kennsluar=2022
HBV403G;Vefforritun 2;6.1234;Vor;Grunnnám;xhttps://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70908020230&kennsluar=2022
VÉL064G;Starfsþjálfun í vélaverkfræði;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71166520226&kennsluar=2022
LVF201F;Valið efni í lífverkfræði;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70916620230&kennsluar=2022
TÖL205G;Tölvur, stýrikerfi og tölvufærni;4;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71070120230&kennsluar=2022
TÖL502M;Samskipti manns og tölvu;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70816320226&kennsluar=2022
TÖL431L;Lokaverkefni;30;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91010020230&kennsluar=2022
VÉL102M;Orkufrek framleiðsluferli;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08220720226&kennsluar=2022
VÉL064G;Starfsþjálfun í vélaverkfræði;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71166520230&kennsluar=2022
VON005G;Nýnemar á Verkfræði- og náttúruvísindasviði;0;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71068620226&kennsluar=2022
IÐN441L;Lokaverkefni;30;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91008320226&kennsluar=2022
IÐN509M;Vöruþróun og hönnun framleiðslukerfa;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70999420226&kennsluar=2022
TÖL105G;Tölvunarfræði 1a;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08711220226&kennsluar=2022
TÖL506M;Inngangur að djúpum tauganetum;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71102820226&kennsluar=2022
IÐN131F;Stefnumótun í aðfangakeðjum;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71153620226&kennsluar=2022
TÖL104G;Stærðfræðimynstur;8;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08711420226&kennsluar=2022
VÉL072M;Valið efni í vélaverkfræði;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71102920226&kennsluar=2022
VÉL441L;Lokaverkefni;30;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91016820226&kennsluar=2022
VÉL301G;Efnisfræði V;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08210620226&kennsluar=2022
EVF501G;Málstofa í efnaverkfræði;1;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71104920226&kennsluar=2022
IÐN561L;Lokaverkefni;180;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91008220230&kennsluar=2022
HBV004G;Starfsþjálfun;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71113120226&kennsluar=2022
IÐN129F;Rýmishljóðhönnun;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71153120226&kennsluar=2022
IÐN504G;Verkefni;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08219120226&kennsluar=2022
VÉL113F;Hönnun og bestun;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70385420226&kennsluar=2022
HBV201G;Viðmótsforritun;8;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08712520230&kennsluar=2022
IÐN202M;Nýsköpun og gerð viðskiptaáætlana;6;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08221820230&kennsluar=2022
TÖL604M;Reiknirit í lífupplýsingafræði;6;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70737120230&kennsluar=2022
IÐN405G;Hönnun og framkvæmd tilrauna;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70999220230&kennsluar=2022
TÖL561L;Lokaverkefni;180;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91031820226&kennsluar=2022
VÉL304G;Mælitækni og gagnavinnsla;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71045420226&kennsluar=2022
HBV561L;Lokaverkefni;180;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91039220226&kennsluar=2022
TÖL029M;Inngangur að gagnaöryggi;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71164320226&kennsluar=2022
LVF601M;Inngangur að kerfislíffræði;6;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70411520230&kennsluar=2022
LVF101F;Valið efni í lífverkfræði;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70916620226&kennsluar=2022
VÉL502M;Fiskiðnaðartækni 1;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08227420226&kennsluar=2022
REI505M;Gervigreind;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70930220226&kennsluar=2022
VÉL609G;Nýsköpun og hönnun;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71046320230&kennsluar=2022
HBV561L;Lokaverkefni;180;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91039220230&kennsluar=2022
VÉL118F;Verkefni;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70426320226&kennsluar=2022
TÖL603M;Öryggisgreining;6;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71180120230&kennsluar=2022
IÐN232F;Verkefni í Aðgerðastjórnun;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71153920230&kennsluar=2022
TÖL212M;Rökstudd forritun;6;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70969520230&kennsluar=2022
IÐN132F;Verkefni í Nýsköpunarstjórnun;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71154020226&kennsluar=2022
LVF442L;Lokaverkefni;30;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91058320230&kennsluar=2022
IÐN231F;Verkefni í Aðgerðagreiningu;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71153820230&kennsluar=2022
IÐN102M;Reiknigreind;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08726220226&kennsluar=2022
REI202G;Inngangur að gagnavísindum;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71103120230&kennsluar=2022
REI504M;Skýjaforritun og stórgögn;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70881020226&kennsluar=2022
VÉL601G;Varmaflutningsfræði;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08214320230&kennsluar=2022
REI561L;Lokaverkefni;180;Sumar;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91057220233&kennsluar=2022
IÐN561L;Lokaverkefni;180;Sumar;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91008220233&kennsluar=2022
IÐN301G;Greining ferla og kerfa;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70950520226&kennsluar=2022
IÐN202G;Verkfræðileg framsetning;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70998820230&kennsluar=2022
TÖL019F;Verkefni í máltækni;8;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70951020226&kennsluar=2022
HBV401G;Þróun hugbúnaðar;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08714120230&kennsluar=2022
IÐN561L;Lokaverkefni;180;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91008220226&kennsluar=2022
VÉL601M;Fiskiðnaðartækni 2;6;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08227520230&kennsluar=2022
TÖL108G;Tölvur, stýrikerfi og tölvufærni;4;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71070120226&kennsluar=2022
VÉL101G;Verkfræðileg hönnun;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70953220226&kennsluar=2022
VON002G;Undirbúningur í efnafræði;0;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71068320226&kennsluar=2022
HBV604G;Hugbúnaðararkitektúr;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71154220230&kennsluar=2022
IÐN227F;Tækniþróun og nýsköpun;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71152520230&kennsluar=2022
IÐN229F;Árangurstjórnun;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71153220230&kennsluar=2022
VÉL049F;Valið efni í vélaverkfræði;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71103920226&kennsluar=2022
LVF561L;Lokaverkefni;180;Sumar;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91057520233&kennsluar=2022
VÉL401G;Sveiflufræði;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08210520230&kennsluar=2022
TÖL309G;Tölvutækni og forritun;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70973020226&kennsluar=2022
TÖL308G;Tölvuleikjaforritun;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70673020226&kennsluar=2022
TÖL028M;Málstofa í gervigreind;2;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71061320230&kennsluar=2022
REI441L;Lokaverkefni;30;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91000020230&kennsluar=2022
HBV601G;Hugbúnaðarverkefni 2;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08716120230&kennsluar=2022
HBV502G;Hakkaþon verkefni;4;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71117120226&kennsluar=2022
IÐN508M;Aðgerðagreining 2;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70999320226&kennsluar=2022
TÖL401G;Stýrikerfi;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08714520230&kennsluar=2022
TÖL501G;Frá hugmynd að veruleika;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70601520226&kennsluar=2022
REI441L;Lokaverkefni;30;Sumar;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91000020233&kennsluar=2022
REI603M;Lífsferill gervigreindarlausna;6;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71079820230&kennsluar=2022
HBV004G;Starfsþjálfun;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71113120230&kennsluar=2022
HBV103M;Viðhald hugbúnaðar;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08732320226&kennsluar=2022
TÖL301G;Formleg mál og reiknanleiki;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08715220226&kennsluar=2022
REI201G;Stærðfræði og reiknifræði;8;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08712620230&kennsluar=2022
IÐN213F;Valin efni í tímaraðagreiningu og stýritækni;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70373220230&kennsluar=2022
IÐN127F;Verkefni í Kerfishugsun;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71152420226&kennsluar=2022
VÉL441L;Lokaverkefni;30;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91016820230&kennsluar=2022
IÐN404G;Vinnusálfræði;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70999120230&kennsluar=2022
IÐN222F;Nýsköpun og viðskiptaþróun í framkvæmd (I);7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70746620230&kennsluar=2022
IÐN510M;Vörustjórnun og umhverfismál;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70999520226&kennsluar=2022
TÖL431L;Lokaverkefni;30;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91010020226&kennsluar=2022
VÉL213F;Plast, málmar og trefjastyrkingar;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70420320230&kennsluar=2022
VON001F;Lokaverkefni: verkefnastjórnun, ritfærni og kynning;4;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71009520226&kennsluar=2022
HBV603G;Starfsnám í tölvunarfræði og hugbúnaðarverkfræði - grunnnám;24;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70973920230&kennsluar=2022
TÖL503M;Dreifð kerfi;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08731220226&kennsluar=2022
IÐN216F;Nýsköpun og viðskiptaþróun í framkvæmd (II);7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70746720230&kennsluar=2022
VÉL303G;Varmafræði og efnahvörf;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71045320226&kennsluar=2022
TÖL431L;Lokaverkefni;30;Sumar;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91010020233&kennsluar=2022
VÉL120F;Jarðhitaborholur;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70559820226&kennsluar=2022
IÐN611M;Gerð aðgerðaáætlana;6;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70999720230&kennsluar=2022
VON001G;Undirbúningur í stærðfræði;0;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71066820226&kennsluar=2022
VÉL114F;Jarðvarmaver;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70385520226&kennsluar=2022
VÉL240F;Þverfaglegt hópverkefni um endurnýjanlega orku;4;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70568620230&kennsluar=2022
VÉL561L;Lokaverkefni;180;Sumar;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91020720233&kennsluar=2022
